,States,Gun Check Totals,Result2015
0,Alabama,737509,R
1,Alaska,85621,R
2,Arizona,331442,R
3,Arkansas,257346,R
4,California,1761079,B
5,Colorado,454062,B
6,Connecticut,307750,B
7,Delaware,50416,B
8,District of Columbia,742,B
9,Florida,1147082,B
10,Georgia,566946,R
11,Hawaii,15290,B
12,Idaho,136946,R
13,Illinois,1247398,B
14,Indiana,1076917,R
15,Iowa,147309,B
16,Kansas,185859,R
17,Kentucky,3218371,R
18,Louisiana,372613,R
19,Maine,94744,B
20,Maryland,125694,B
21,Massachusetts,167285,B
22,Michigan,500921,B
23,Minnesota,519244,B
24,Mississippi,252372,R
25,Missouri,584875,R
26,Montana,127705,R
27,Nebraska,79340,R
28,Nevada,127480,B
29,New Hampshire,136816,B
30,New Jersey,90034,B
31,New Mexico,147912,B
32,New York,346048,B
33,North Carolina,531876,R
34,North Dakota,69429,R
35,Ohio,748502,B
36,Oklahoma,359276,R
37,Oregon,276126,B
38,Pennsylvania,993429,B
39,Rhode Island,22129,B
40,South Carolina,326997,R
41,South Dakota,100268,R
42,Tennessee,654192,R
43,Texas,1574266,R
44,Utah,254814,R
45,Vermont,34588,B
46,Virginia,462997,B
47,Washington,502280,B
48,West Virginia,249014,R
49,Wisconsin,383280,B
50,Wyoming,62339,R
