,Incident Date,State,City Or County,Address,# Killed,# Injured,Zipcode
0,2014-12-29,LA,New Orleans,Poydras and Bolivar,0,4,70113
1,2014-12-27,CA,Los Angeles,8800 block of South Figueroa Street,1,3,90003
2,2014-12-27,CA,Sacramento,4000 block of May Street,0,4,95838
3,2014-12-26,IL,East St. Louis,2500 block of Summit Avenue,1,3,62205
4,2014-12-24,MO,Saint Louis,18th and Pine,1,3,63103
5,2014-12-23,KY,Winchester,260 Oxford Drive,1,3,40391
7,2014-12-22,NY,Webster,191 Lake Road,4,2,14580
8,2014-12-22,IL,Chicago,5700 block of South Green Street,0,5,60621
9,2014-12-21,FL,Sarasota,4034 N Washington Blvd,2,2,34234
10,2014-12-21,MS,Waynesboro,Central Avenue,1,4,39367
11,2014-12-21,IL,Calumet City,600 block of Escanba,1,8,60409
12,2014-12-20,IL,Rockford,3200 block of Montrose Avenue,4,0,61101
13,2014-12-16,NJ,Elizabeth,Anna Street,0,4,07201
14,2014-12-15,PA,Lansdale,100 block of West 5th St,7,0,19446
15,2014-12-14,FL,Miami,1311 Northwest 2nd Avenue,1,4,33136
16,2014-12-13,FL,Tampa,810 E. Skagway Ave.,0,5,33604
17,2014-12-12,OR,Portland,717 North Killingsworth Court,0,4,97217
18,2014-12-07,IN,South Bend,16000 block of Roosevelt Road,0,4,46614
19,2014-12-02,MO,Saint Louis,6000 block of Virginia Avenue,1,5,63111
20,2014-12-02,VA,Newport News,6128 Jefferson Ave ,0,5,23605
21,2014-11-30,NY,Brooklyn,375 Remsen Avenue,0,4,11212
22,2014-11-30,TN,Chattanooga,2412 East 13th Street ,0,5,37404
23,2014-11-29,NJ,Newark,348 S Orange Ave,1,3,07103
24,2014-11-29,GA,Atlanta,1600 block of Richmond Avenue,3,2,30315
25,2014-11-28,TN,Memphis,1849 East Brooks Road ,0,4,38116
26,2014-11-27,TX,Georgetown,Pvt Rd 934,2,3,78626
27,2014-11-26,CA,San Francisco,Mission and 13th streets,0,6,94103
29,2014-11-23,CO,Denver,Federal Boulevard and 16th Avenue,1,4,80204
30,2014-11-22,OH,Cleveland,1443 E 92nd St,4,1,44106
31,2014-11-22,SD,Sisseton,Fourth Avenue,4,1,57262
