GUN LAW STRENGTH (RANKED),STATE,2015 GRADE
1,California,A-
2,Connecticut,A-
3,New Jersey,A-
4,Maryland,A-
5,Massachusetts,A-
6,New York,A-
7,Hawaii,B+
8,Illinois,B+
9,Rhode Island,B+
10,Delaware,B
11,Washington,B-
12,Minnesota,C
13,Pennsylvania,C
14,Oregon,C
15,Michigan,C
16,Colorado,C-
17,Iowa,C-
18,Wisconsin,D
19,Ohio,D
20,Virginia,D
21,Nebraska,D
22,New Hampshire,D
23,Indiana,D-
24,West Virginia,D-
25,Oklahoma,F
25,North Carolina,F
27,Nevada,F
28,South Carolina,F
28,Georgia,F
28,Florida,F
28,North Dakota,F
32,Tennessee,F
33,New Mexico,F
33,Texas,F
35,Maine,F
36,Alabama,F
37,Montana,F
37,Arkansas,F
37,Utah,F
40,South Dakota,F
41,Missouri,F
41,Vermont,F
43,Kentucky,F
44,Louisiana,F
44,Idaho,F
46,Alaska,F
47,Arizona,F
48,Wyoming,F
49,Mississippi,F
50,Kansas,F
